INDEX,ITEM,H,C,M,L,Detail_Info,Sell,Consuming Type,Time,Price
214103004,GUA BOPE Pants,2,1,4,1,214103,1,1,720,20250
214104001,GUA NAVY SEAL Pants,2,1,4,1,214104,1,1,24,900
214104002,GUA NAVY SEAL Pants,2,1,4,1,214104,1,1,168,5355
214104003,GUA NAVY SEAL Pants,2,1,4,1,214104,1,1,360,10800
214104004,GUA NAVY SEAL Pants,2,1,4,1,214104,1,1,720,20250
214105001,GUA SWAT Pants,2,1,4,1,214105,1,1,24,900
214105002,GUA SWAT Pants,2,1,4,1,214105,1,1,168,5355
214105003,GUA SWAT Pants,2,1,4,1,214105,1,1,360,10800
214105004,GUA SWAT Pants,2,1,4,1,214105,1,1,720,20250
214106001,GUA 707 Pants,2,1,4,1,214106,1,1,24,900
214106002,GUA 707 Pants,2,1,4,1,214106,1,1,168,5355
214106003,GUA 707 Pants,2,1,4,1,214106,1,1,360,10800
214106004,GUA 707 Pants,2,1,4,1,214106,1,1,720,20250
234101001,Bloody Jason`s pants,2,3,4,1,234101,1,1,24,900
234101002,Bloody Jason`s pants,2,3,4,1,234101,1,1,168,5355
234101003,Bloody Jason`s pants,2,3,4,1,234101,1,1,360,10800
234101004,Bloody Jason`s pants,2,3,4,1,234101,1,1,720,20250
234102001,Home world,2,3,4,1,234102,1,1,24,900
234102002,Home world,2,3,4,1,234102,1,1,168,5355
234102003,Home world,2,3,4,1,234102,1,1,360,10800
234102004,Home world,2,3,4,1,234102,1,1,720,20250
234103001,Desert Striker,2,3,4,1,234103,1,1,24,900
234103002,Desert Striker,2,3,4,1,234103,1,1,168,5355
234103003,Desert Striker,2,3,4,1,234103,1,1,360,10800
234103004,Desert Striker,2,3,4,1,234103,1,1,720,20250
234104001,Elohem`s Secret follower,2,3,4,1,234104,1,1,24,900
234104002,Elohem`s Secret follower,2,3,4,1,234104,1,1,168,5355
234104003,Elohem`s Secret follower,2,3,4,1,234104,1,1,360,10800
234104004,Elohem`s Secret follower,2,3,4,1,234104,1,1,720,20250
234105001,The Sense,2,3,4,1,234105,1,1,24,900
234105002,The Sense,2,3,4,1,234105,1,1,168,5355
234105003,The Sense,2,3,4,1,234105,1,1,360,10800
234105004,The Sense,2,3,4,1,234105,1,1,720,20250
234106001,City Warrior,2,3,4,1,234106,1,1,24,1000
234106002,City Warrior,2,3,4,1,234106,1,1,168,5950
234106003,City Warrior,2,3,4,1,234106,1,1,360,12000
234106004,City Warrior,2,3,4,1,234106,1,1,720,22500
234107001,Speed Star`s pants,2,3,4,1,234107,1,1,24,1000
234107002,Speed Star`s pants,2,3,4,1,234107,1,1,168,5950
234107003,Speed Star`s pants,2,3,4,1,234107,1,1,360,12000
234107004,Speed Star`s pants,2,3,4,1,234107,1,1,720,22500
215101001,Butterfly,2,1,5,1,215101,1,1,24,500
215101002,Butterfly,2,1,5,1,215101,1,1,168,2975
215101003,Butterfly,2,1,5,1,215101,1,1,360,6000
215101004,Butterfly,2,1,5,1,215101,1,1,720,11250
215201001,GUA 707 Gogle,2,1,5,2,215201,1,1,24,500
215201002,GUA 707 Gogle,2,1,5,2,215201,1,1,168,2975
215201003,GUA 707 Gogle,2,1,5,2,215201,1,1,360,6000
215201004,GUA 707 Gogle,2,1,5,2,215201,1,1,720,11250
235101001,80`s Jumbo,2,3,5,1,235101,1,1,24,500
235101002,80`s Jumbo,2,3,5,1,235101,1,1,168,2975
235101003,80`s Jumbo,2,3,5,1,235101,1,1,360,6000
235101004,80`s Jumbo,2,3,5,1,235101,1,1,720,11250
235102001,Speed Star`s Glasses,2,3,5,2,235102,1,1,24,500
235102002,Speed Star`s Glasses,2,3,5,2,235102,1,1,168,2975
235102003,Speed Star`s Glasses,2,3,5,2,235102,1,1,360,6000
235102004,Speed Star`s Glasses,2,3,5,2,235102,1,1,720,11250
216101001,Knight of Roses,2,1,6,1,216101,1,1,24,600
216101002,Knight of Roses,2,1,6,1,216101,1,1,168,3570
216101003,Knight of Roses,2,1,6,1,216101,1,1,360,7200
216101004,Knight of Roses,2,1,6,1,216101,1,1,720,13500
216201001,GUA 707 Mask,2,1,6,2,216201,1,1,24,600
216201002,GUA 707 Mask,2,1,6,2,216201,1,1,168,3570
216201003,GUA 707 Mask,2,1,6,2,216201,1,1,360,7200
216201004,GUA 707 Mask,2,1,6,2,216201,1,1,720,13500
236101001,Kiss of Death,2,3,6,1,236101,1,1,24,600
236101002,Kiss of Death,2,3,6,1,236101,1,1,168,3570
236101003,Kiss of Death,2,3,6,1,236101,1,1,360,7200
236101004,Kiss of Death,2,3,6,1,236101,1,1,720,13500
236102001,Teeth of Death,2,3,6,1,236102,1,1,24,600
236102002,Teeth of Death,2,3,6,1,236102,1,1,168,3570
236102003,Teeth of Death,2,3,6,1,236102,1,1,360,7200
236102004,Teeth of Death,2,3,6,1,236102,1,1,720,13500
237101001,Soul Eater,2,3,7,1,237101,1,1,24,700
237101002,Soul Eater,2,3,7,1,237101,1,1,168,4165
237101003,Soul Eater,2,3,7,1,237101,1,1,360,8400
237101004,Soul Eater,2,3,7,1,237101,1,1,720,15750
237102001,Morpheus,2,3,7,1,237102,1,1,24,700
237102002,Morpheus,2,3,7,1,237102,1,1,168,4165
237102003,Morpheus,2,3,7,1,237102,1,1,360,8400
237102004,Morpheus,2,3,7,1,237102,1,1,720,15750
237103001,Bloody Jason`s mask,2,3,7,1,237103,1,1,24,800
237103002,Bloody Jason`s mask,2,3,7,1,237103,1,1,168,4760
237103003,Bloody Jason`s mask,2,3,7,1,237103,1,1,360,9600
237103004,Bloody Jason`s mask,2,3,7,1,237103,1,1,720,18000
